s001.align.1.msl 16 14 -2
s002.align.1.msl 18 18 0
s003.align.1.msl 16 18 2
s004.align.1.msl 14 18 4
s005.align.1.msl 12 12 0
s006.align.1.msl 18 18 0
s007.align.1.msl 12 10 -2
s008.align.1.msl 10 10 0
s009.align.1.msl 10 12 2
s010.align.1.msl 14 10 -4
s011.align.1.msl 16 16 0
s012.align.1.msl 14 12 -2
s013.align.1.msl 18 18 0
s014.align.1.msl 14 14 0
s015.align.1.msl 8 12 4
s016.align.1.msl 14 18 4
s017.align.1.msl 14 10 -4
s018.align.1.msl 10 14 4
s019.align.1.msl 12 12 0
s020.align.1.msl 12 12 0
s021.align.1.msl 8 6 -2
s022.align.1.msl 18 18 0
s023.align.1.msl 16 14 -2
s024.align.1.msl 14 16 2
s025.align.1.msl 8 8 0
s026.align.1.msl 8 14 6
s027.align.1.msl 12 12 0
s028.align.1.msl 10 10 0
s029.align.1.msl 10 10 0
s030.align.1.msl 18 18 0
s031.align.1.msl 10 12 2
s032.align.1.msl 14 10 -4
s033.align.1.msl 8 8 0
s034.align.1.msl 8 8 0
s035.align.1.msl 16 16 0
s036.align.1.msl 10 10 0
s037.align.1.msl 18 18 0
s038.align.1.msl 18 18 0
s039.align.1.msl 10 10 0
s040.align.1.msl 14 14 0
s041.align.1.msl 8 8 0
s042.align.1.msl 12 12 0
s043.align.1.msl 12 12 0
s044.align.1.msl 14 12 -2
s045.align.1.msl 10 8 -2
s046.align.1.msl 8 10 2
s047.align.1.msl 12 12 0
s048.align.1.msl 18 18 0
s049.align.1.msl 12 12 0
s050.align.1.msl 14 14 0
s051.align.1.msl 6 8 2
s052.align.1.msl 8 6 -2
s053.align.1.msl 12 12 0
s054.align.1.msl 18 18 0
s055.align.1.msl 14 16 2
s056.align.1.msl 16 14 -2
s057.align.1.msl 14 16 2
s058.align.1.msl 12 12 0
s059.align.1.msl 12 12 0
s060.align.1.msl 6 8 2
s061.align.1.msl 10 8 -2
s062.align.1.msl 14 12 -2
s063.align.1.msl 14 14 0
s064.align.1.msl 22 16 -6
s065.align.1.msl 10 10 0
s066.align.1.msl 12 12 0
s067.align.1.msl 10 8 -2
s068.align.1.msl 14 14 0
s069.align.1.msl 16 16 0
s070.align.1.msl 10 10 0
s071.align.1.msl 6 8 2
s072.align.1.msl 12 12 0
s073.align.1.msl 14 12 -2
s074.align.1.msl 18 16 -2
s075.align.1.msl 12 14 2
s076.align.1.msl 10 8 -2
s077.align.1.msl 16 18 2
s078.align.1.msl 12 12 0
s079.align.1.msl 8 8 0
s080.align.1.msl 10 10 0
s081.align.1.msl 6 10 4
s082.align.1.msl 10 8 -2
s083.align.1.msl 18 12 -6
s084.align.1.msl 18 10 -8
s085.align.1.msl 10 10 0
s086.align.1.msl 16 16 0
s087.align.1.msl 8 8 0
s088.align.1.msl 10 10 0
s089.align.1.msl 8 8 0
s090.align.1.msl 12 12 0
s091.align.1.msl 10 10 0
s092.align.1.msl 16 16 0
s093.align.1.msl 12 14 2
s094.align.1.msl 10 10 0
s095.align.1.msl 18 18 0
s096.align.1.msl 10 10 0
s097.align.1.msl 14 12 -2
s098.align.1.msl 16 14 -2
s099.align.1.msl 18 18 0
s100.align.1.msl 16 16 0
s101.align.1.msl 10 10 0
s102.align.1.msl 12 8 -4
s103.align.1.msl 14 12 -2
s104.align.1.msl 10 10 0
s105.align.1.msl 10 10 0
s106.align.1.msl 14 14 0
s107.align.1.msl 20 14 -6
s108.align.1.msl 12 12 0
s109.align.1.msl 18 18 0
s110.align.1.msl 14 14 0
s111.align.1.msl 6 8 2
s112.align.1.msl 10 10 0
s113.align.1.msl 16 16 0
s114.align.1.msl 12 12 0
s115.align.1.msl 18 18 0
s116.align.1.msl 12 12 0
s117.align.1.msl 10 10 0
s118.align.1.msl 10 10 0
s119.align.1.msl 8 12 4
s120.align.1.msl 16 12 -4
s121.align.1.msl 12 12 0
s122.align.1.msl 12 12 0
s123.align.1.msl 14 14 0
s124.align.1.msl 6 6 0
s125.align.1.msl 20 18 -2
s126.align.1.msl 10 10 0
s127.align.1.msl 14 14 0
s128.align.1.msl 12 12 0
s129.align.1.msl 16 16 0
s130.align.1.msl 12 12 0
s131.align.1.msl 10 10 0
s132.align.1.msl 14 16 2
s133.align.1.msl 16 16 0
s134.align.1.msl 6 6 0
s135.align.1.msl 12 12 0
s136.align.1.msl 12 12 0
s137.align.1.msl 10 10 0
s138.align.1.msl 10 10 0
s139.align.1.msl 14 12 -2
s140.align.1.msl 12 12 0
s141.align.1.msl 12 12 0
s142.align.1.msl 14 12 -2
s143.align.1.msl 16 14 -2
s144.align.1.msl 20 20 0
s145.align.1.msl 12 12 0
s146.align.1.msl 14 14 0
s147.align.1.msl 10 8 -2
s148.align.1.msl 14 12 -2
s149.align.1.msl 6 6 0
s150.align.1.msl 10 6 -4
s151.align.1.msl 12 12 0
s152.align.1.msl 8 6 -2
s153.align.1.msl 20 20 0
s154.align.1.msl 12 14 2
s155.align.1.msl 14 14 0
s156.align.1.msl 12 12 0
s157.align.1.msl 12 10 -2
s158.align.1.msl 10 8 -2
s159.align.1.msl 6 8 2
s160.align.1.msl 10 10 0
s161.align.1.msl 8 8 0
s162.align.1.msl 6 6 0
s163.align.1.msl 14 14 0
s164.align.1.msl 14 12 -2
s165.align.1.msl 10 10 0
s166.align.1.msl 18 16 -2
s167.align.1.msl 12 12 0
s168.align.1.msl 10 10 0
s169.align.1.msl 14 8 -6
s170.align.1.msl 10 8 -2
s171.align.1.msl 18 18 0
s172.align.1.msl 12 12 0
s173.align.1.msl 10 10 0
s174.align.1.msl 10 10 0
s175.align.1.msl 12 12 0
s176.align.1.msl 20 20 0
s177.align.1.msl 10 12 2
s178.align.1.msl 14 14 0
s179.align.1.msl 12 12 0
s180.align.1.msl 10 10 0
s181.align.1.msl 16 14 -2
s182.align.1.msl 12 12 0
s183.align.1.msl 10 10 0
s184.align.1.msl 10 10 0
s185.align.1.msl 14 14 0
s186.align.1.msl 12 12 0
s187.align.1.msl 12 10 -2
s188.align.1.msl 10 10 0
s189.align.1.msl 16 16 0
s190.align.1.msl 10 12 2
s191.align.1.msl 18 18 0
s192.align.1.msl 12 10 -2
s193.align.1.msl 4 4 0
s194.align.1.msl 8 10 2
s195.align.1.msl 12 14 2
s196.align.1.msl 8 8 0
s197.align.1.msl 16 16 0
s198.align.1.msl 14 16 2
s199.align.1.msl 10 10 0
s200.align.1.msl 10 10 0
s201.align.1.msl 14 14 0
s202.align.1.msl 12 12 0
s203.align.1.msl 12 16 4
s204.align.1.msl 8 8 0
s205.align.1.msl 10 10 0
s206.align.1.msl 16 16 0
s207.align.1.msl 16 16 0
s208.align.1.msl 10 14 4
s209.align.1.msl 12 10 -2
s210.align.1.msl 10 10 0
s211.align.1.msl 20 20 0
s212.align.1.msl 10 10 0
s213.align.1.msl 12 12 0
s214.align.1.msl 8 6 -2
s215.align.1.msl 6 6 0
s216.align.1.msl 8 8 0
s217.align.1.msl 14 12 -2
s218.align.1.msl 10 10 0
s219.align.1.msl 10 16 6
s220.align.1.msl 6 8 2
s221.align.1.msl 20 20 0
s222.align.1.msl 14 14 0
s223.align.1.msl 12 12 0
s224.align.1.msl 16 16 0
s225.align.1.msl 14 14 0
s226.align.1.msl 16 16 0
s227.align.1.msl 14 14 0
s228.align.1.msl 14 16 2
s229.align.1.msl 16 14 -2
s230.align.1.msl 14 8 -6
s231.align.1.msl 16 16 0
s232.align.1.msl 6 16 10
s233.align.1.msl 6 6 0
s234.align.1.msl 12 12 0
s235.align.1.msl 10 16 6
s236.align.1.msl 8 4 -4
s237.align.1.msl 10 12 2
s238.align.1.msl 14 14 0
